--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 49.34, offset_x_cm for ac: -307.06
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 50.34, offset_x_cm for ac: -306.56
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 51.34, offset_x_cm for ac: -306.06
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 52.34, offset_x_cm for ac: -305.56
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 53.34, offset_x_cm for ac: -305.06
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 54.34, offset_x_cm for ac: -304.57
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 55.34, offset_x_cm for ac: -304.07
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 56.34, offset_x_cm for ac: -303.58
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 57.34, offset_x_cm for ac: -303.09
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 58.34, offset_x_cm for ac: -302.59
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 59.34, offset_x_cm for ac: -302.10
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 60.34, offset_x_cm for ac: -301.61
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 61.34, offset_x_cm for ac: -301.13
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 62.34, offset_x_cm for ac: -300.64
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 63.34, offset_x_cm for ac: -300.15
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 64.34, offset_x_cm for ac: -299.67
send offset to actuator, count:34, delta_loop_time: 11, offset_y_cm from origin: 49.47, offset_x_cm for ac: -299.28
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 50.47, offset_x_cm for ac: -298.79
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 51.47, offset_x_cm for ac: -298.30
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 52.47, offset_x_cm for ac: -297.82
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 53.47, offset_x_cm for ac: -297.33
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 54.47, offset_x_cm for ac: -296.85
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 55.47, offset_x_cm for ac: -296.37
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 56.47, offset_x_cm for ac: -295.88
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 57.47, offset_x_cm for ac: -295.40
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 58.47, offset_x_cm for ac: -294.92
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 59.47, offset_x_cm for ac: -294.45
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 60.47, offset_x_cm for ac: -293.97
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 61.47, offset_x_cm for ac: -293.49
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 62.47, offset_x_cm for ac: -293.02
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 63.47, offset_x_cm for ac: -292.54
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 64.47, offset_x_cm for ac: -292.07
send offset to actuator, count:35, delta_loop_time: 11, offset_y_cm from origin: 50.08, offset_x_cm for ac: -291.69
send offset to actuator, count:35, delta_loop_time: 10, offset_y_cm from origin: 51.08, offset_x_cm for ac: -291.22
send offset to actuator, count:35, delta_loop_time: 10, offset_y_cm from origin: 52.08, offset_x_cm for ac: -290.75
send offset to actuator, count:35, delta_loop_time: 10, offset_y_cm from origin: 53.08, offset_x_cm for ac: -290.27
send offset to actuator, count:35, delta_loop_time: 10, offset_y_cm from origin: 54.08, offset_x_cm for ac: -289.80
send offset to actuator, count:35, delta_loop_time: 10, offset_y_cm from origin: 55.08, offset_x_cm for ac: -289.33
