--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀rigin: 0.00, hokan nasi offset_x_cm for ac: -46.40, offset_x_cm for ac: -46.38
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154325, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.02, offset_x_cm for ac: -26.03
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154336, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.02, offset_x_cm for ac: -26.02
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154347, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.02, offset_x_cm for ac: -26.02
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154359, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.00, offset_x_cm for ac: -26.01
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154370, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.98, offset_x_cm for ac: -25.99
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154381, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.97, offset_x_cm for ac: -25.98
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154392, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.95, offset_x_cm for ac: -25.96
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154403, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.94, offset_x_cm for ac: -25.95
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154414, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.93, offset_x_cm for ac: -25.93
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154425, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.91, offset_x_cm for ac: -25.92
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154436, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.90, offset_x_cm for ac: -25.90
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154447, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.88, offset_x_cm for ac: -25.89
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154458, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.87, offset_x_cm for ac: -25.88
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154469, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.86, offset_x_cm for ac: -25.86
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154480, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.84, offset_x_cm for ac: -25.85
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154491, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.83, offset_x_cm for ac: -25.84
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154502, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.82, offset_x_cm for ac: -25.82
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154513, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.80, offset_x_cm for ac: -25.81
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154524, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.79, offset_x_cm for ac: -25.80
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154535, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.78, offset_x_cm for ac: -25.78
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154546, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.76, offset_x_cm for ac: -25.77
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154557, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.75, offset_x_cm for ac: -25.76
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154568, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.74, offset_x_cm for ac: -25.75
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154579, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.73, offset_x_cm for ac: -25.73
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154590, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.72, offset_x_cm for ac: -25.72
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154601, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.70, offset_x_cm for ac: -25.71
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154612, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.69, offset_x_cm for ac: -25.70
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.77, current_time_ms: 154623, curr_params.time_get_image: 17625, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.68, offset_x_cm for ac: -25.69
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.49, current_time_ms: 154635, curr_params.time_get_image: 17872, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.68, offset_x_cm for ac: -25.68
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.49, current_time_ms: 154646, curr_params.time_get_image: 17872, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.68, offset_x_cm for ac: -25.68
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.49, current_time_ms: 154657, curr_params.time_get_image: 17872, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.67, offset_x_cm for ac: -25.68
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.49, current_time_ms: 154668, curr_params.time_get_image: 17872, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.67, offset_x_cm for ac: -25.67
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.49, current_time_ms: 154679, curr_params.time_get_image: 17872, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.67, offset_x_cm for ac: -25.67
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.49, current_time_ms: 154690, curr_params.time_get_image: 17872, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.67, offset_x_cm for ac: -25.67
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.49, current_time_ms: 154701, curr_params.time_get_image: 17872, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -25.67, offset_x_cm for ac: -25.67
