--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀40.33, offset_x_cm for ac: -40.32
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109648, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.11, offset_x_cm for ac: -40.11
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109659, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.10, offset_x_cm for ac: -40.10
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109670, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.10, offset_x_cm for ac: -40.10
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109681, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.09, offset_x_cm for ac: -40.10
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109692, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.09, offset_x_cm for ac: -40.09
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109703, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.09, offset_x_cm for ac: -40.09
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109714, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.08, offset_x_cm for ac: -40.09
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109725, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.08, offset_x_cm for ac: -40.08
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109736, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.08, offset_x_cm for ac: -40.08
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109747, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.07, offset_x_cm for ac: -40.07
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109758, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.07, offset_x_cm for ac: -40.07
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109769, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.06, offset_x_cm for ac: -40.07
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109780, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.06, offset_x_cm for ac: -40.06
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109791, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.06, offset_x_cm for ac: -40.06
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109803, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.05, offset_x_cm for ac: -40.06
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109814, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.05, offset_x_cm for ac: -40.05
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109825, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.05, offset_x_cm for ac: -40.05
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109836, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.04, offset_x_cm for ac: -40.05
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109847, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.04, offset_x_cm for ac: -40.04
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109858, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.04, offset_x_cm for ac: -40.04
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109869, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.03, offset_x_cm for ac: -40.04
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109880, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.03, offset_x_cm for ac: -40.03
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109891, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.03, offset_x_cm for ac: -40.03
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109902, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.03, offset_x_cm for ac: -40.03
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109913, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.02, offset_x_cm for ac: -40.02
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109924, curr_params.time_get_image: 38590, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.02, offset_x_cm for ac: -40.02
