--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
_m for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184543, curr_params.time_get_image: 39474, offset_y_cm from origin: 6.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.33
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184554, curr_params.time_get_image: 39474, offset_y_cm from origin: 6.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.33
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184565, curr_params.time_get_image: 39474, offset_y_cm from origin: 5.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.28
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184576, curr_params.time_get_image: 39474, offset_y_cm from origin: 5.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.28
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184587, curr_params.time_get_image: 39474, offset_y_cm from origin: 5.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.28
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184598, curr_params.time_get_image: 39474, offset_y_cm from origin: 4.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.24
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184609, curr_params.time_get_image: 39474, offset_y_cm from origin: 4.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.24
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184620, curr_params.time_get_image: 39474, offset_y_cm from origin: 4.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.24
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184631, curr_params.time_get_image: 39474, offset_y_cm from origin: 4.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.24
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184642, curr_params.time_get_image: 39474, offset_y_cm from origin: 3.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.20
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184653, curr_params.time_get_image: 39474, offset_y_cm from origin: 3.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.20
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184664, curr_params.time_get_image: 39474, offset_y_cm from origin: 3.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.20
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184675, curr_params.time_get_image: 39474, offset_y_cm from origin: 2.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.15
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184686, curr_params.time_get_image: 39474, offset_y_cm from origin: 2.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.15
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184697, curr_params.time_get_image: 39474, offset_y_cm from origin: 2.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.15
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184708, curr_params.time_get_image: 39474, offset_y_cm from origin: 1.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.11
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184719, curr_params.time_get_image: 39474, offset_y_cm from origin: 1.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.11
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184730, curr_params.time_get_image: 39474, offset_y_cm from origin: 0.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.07
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184741, curr_params.time_get_image: 39474, offset_y_cm from origin: 0.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.07
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.06, current_time_ms: 184753, curr_params.time_get_image: 39713, offset_y_cm from origin: 8.96, hokan nasi offset_x_cm for ac: -28.44, offset_x_cm for ac: -28.44
